id,name,club,age,league,nationality,height_cm,weight_kg,pace,shooting,passing,dribbling,defense,physical,gk_habilities,position
257,Y. Brahimi,FC Porto,27,Portuguese Primeira Liga,Algeria,175,66,80,73,77,89,33,56,11,Midfielder
258,M. Arnautović,West Ham United,28,English Premier League,Austria,192,83,77,74,79,81,53,81,13,Striker
259,J. Henderson,Liverpool,27,English Premier League,England,182,67,72,70,83,76,76,81,10,Midfielder
260,M. Kruse,SV Werder Bremen,29,German Bundesliga,Germany,180,76,71,84,82,82,39,69,9,Midfielder
261,O. Karnezis,Watford,31,English Premier League,Greece,190,81,80,83,70,84,39,80,79,Goalkeeper
262,L. Fejsa,SL Benfica,28,Portuguese Primeira Liga,Serbia,183,80,53,57,66,68,81,85,13,Defender
263,F. Muslera,Galatasaray SK,31,Turkish Süper Lig,Uruguay,190,84,81,75,75,85,61,83,80,Goalkeeper
264,V. Ćorluka,Lokomotiv Moscow,31,Russian Premier League,Croatia,192,84,58,51,67,66,82,83,11,Defender
265,G. Wijnaldum,Liverpool,26,English Premier League,Netherlands,175,69,81,75,76,84,66,74,11,Midfielder
266,F. Fazio,Roma,30,Italian Serie A,Argentina,195,85,30,41,54,54,84,81,11,Defender
267,O. Giroud,Arsenal,30,English Premier League,France,192,88,53,81,70,73,38,83,10,Striker
268,B. Ivanović,Zenit St. Petersburg,33,Russian Premier League,Serbia,185,91,62,61,68,61,82,83,12,Defender
269,J. Hernández,West Ham United,29,English Premier League,Mexico,175,73,79,80,66,78,31,59,12,Striker
270,Beñat,Athletic Club de Bilbao,30,Spanish Primera División,Spain,177,76,58,75,84,75,66,74,12,Midfielder
271,L. Bender,Bayer 04 Leverkusen,28,German Bundesliga,Germany,185,81,68,64,73,72,82,79,9,Defender
272,A. Witsel,,28,,Belgium,186,73,71,74,77,82,73,80,7,Midfielder
273,K. Gameiro,Atlético Madrid,30,Spanish Primera División,France,173,70,87,82,75,78,35,68,8,Striker
274,C. Bravo,Manchester City,34,English Premier League,Chile,184,80,80,80,87,81,56,77,81,Goalkeeper
275,A. Begović,Bournemouth,30,English Premier League,Bosnia Herzegovina,199,83,81,81,73,82,55,79,79,Goalkeeper
276,Naldo,FC Schalke 04,34,German Bundesliga,Brazil,198,91,69,69,63,61,84,73,12,Defender
277,D. Sturridge,Liverpool,27,English Premier League,England,180,76,76,82,69,79,25,68,10,Striker
278,D. Rose,Tottenham Hotspur,26,English Premier League,England,174,76,81,63,73,78,81,78,11,Defender
279,C. Vela,Real Sociedad,28,Spanish Primera División,Mexico,177,77,84,79,77,82,25,66,11,Striker
280,E. Viviano,Sampdoria,31,Italian Serie A,Italy,195,90,81,84,79,83,32,78,81,Goalkeeper
281,G. Castro,Borussia Dortmund,30,German Bundesliga,Germany,172,74,71,72,83,81,72,68,12,Midfielder
282,S. Nasri,Antalyaspor,30,Turkish Süper Lig,France,175,75,78,76,81,84,38,59,1,Midfielder
283,A. Williams,Everton,32,English Premier League,Wales,183,77,65,43,56,61,81,81,10,Defender
284,L. Baines,Everton,32,English Premier League,England,170,74,70,71,80,79,80,71,12,Defender
285,A. Consigli,Sassuolo,30,Italian Serie A,Italy,189,82,82,83,72,84,40,81,80,Goalkeeper
286,João Moutinho,AS Monaco,30,French Ligue 1,Portugal,170,61,69,75,81,81,70,72,14,Midfielder
287,B. Costil,Girondins de Bordeaux,29,French Ligue 1,France,187,88,82,80,78,84,51,82,81,Goalkeeper
288,Raúl Albiol,Napoli,31,Italian Serie A,Spain,190,82,57,41,57,59,84,76,7,Defender
289,J. Hart,West Ham United,30,English Premier League,England,196,91,81,78,75,83,60,80,79,Goalkeeper
290,M. Gómez,VfL Wolfsburg,31,German Bundesliga,Germany,189,88,72,82,62,73,28,78,9,Striker
291,Juanfran,Atlético Madrid,32,Spanish Primera División,Spain,180,72,82,58,75,77,78,77,11,Defender
292,Raffael,Borussia Mönchengladbach,32,German Bundesliga,Brazil,174,69,72,79,80,86,41,67,11,Midfielder
293,A. Turan,FC Barcelona,30,Spanish Primera División,Turkey,175,76,71,73,81,84,61,72,10,Midfielder
294,Fernandinho,Manchester City,32,English Premier League,Brazil,179,67,73,73,76,78,77,78,10,Midfielder
295,David Villa,New York City Football Club,35,USA Major League Soccer,Spain,175,69,69,83,74,82,31,69,9,Striker
296,S. Lichtsteiner,Juventus,33,Italian Serie A,Switzerland,182,75,77,59,73,76,80,77,3,Defender
297,R. Jarstein,Hertha BSC Berlin,32,German Bundesliga,Norway,190,82,78,81,72,85,43,87,81,Goalkeeper
298,M. Rashford,Manchester United,19,English Premier League,England,185,70,92,77,73,83,38,74,11,Striker
299,Gabriel Jesus,Manchester City,20,English Premier League,Brazil,175,73,87,79,71,87,26,67,10,Striker
300,Nélson Semedo,FC Barcelona,23,Spanish Primera División,Portugal,177,67,92,57,68,80,76,71,13,Defender
301,Gelson Martins,Sporting CP,22,Portuguese Primeira Liga,Portugal,173,65,94,70,73,86,44,60,9,Striker
302,Malcom,Girondins de Bordeaux,20,French Ligue 1,Brazil,171,75,83,76,78,84,26,63,11,Striker
303,J. Weigl,Borussia Dortmund,21,German Bundesliga,Germany,186,72,70,50,76,76,76,68,11,Midfielder
304,D. Sánchez,Tottenham Hotspur,21,English Premier League,Colombia,187,79,71,47,50,59,81,83,9,Defender
305,I. Slimani,Leicester City,29,English Premier League,Algeria,188,83,69,77,67,72,47,85,10,Striker
306,A. Kramarić,TSG 1899 Hoffenheim,26,German Bundesliga,Croatia,177,73,73,81,70,84,26,71,12,Striker
307,M. Brozović,Inter,24,Italian Serie A,Croatia,181,68,73,73,79,81,68,69,10,Midfielder
308,Williams,Athletic Club de Bilbao,23,Spanish Primera División,Spain,186,77,93,78,73,79,34,79,13,Striker
309,Dani García,SD Eibar,27,Spanish Primera División,Spain,180,75,48,58,74,71,73,80,10,Midfielder
310,A. Christensen,Chelsea,21,English Premier League,Denmark,188,78,72,31,62,69,84,72,9,Defender
311,J. Kimmich,FC Bayern Munich,22,German Bundesliga,Germany,176,70,70,67,82,80,77,73,12,Defender
312,Bruma,RB Leipzig,22,German Bundesliga,Portugal,173,70,93,71,73,86,34,65,10,Striker
313,D. Berardi,Sassuolo,22,Italian Serie A,Italy,183,72,85,80,76,84,30,72,5,Striker
314,A. Rabiot,Paris Saint-Germain,22,French Ligue 1,France,188,71,70,72,78,78,73,77,10,Midfielder
315,R. Guerreiro,Borussia Dortmund,23,German Bundesliga,Portugal,170,71,77,75,81,84,74,63,9,Striker
316,J. Vardy,Leicester City,30,English Premier League,England,179,74,91,79,63,77,51,78,12,Striker
317,H. Ziyech,Ajax,24,Holland Eredivisie,Morocco,180,70,76,74,86,78,52,64,10,Midfielder
318,M. Keane,Everton,24,English Premier League,England,191,82,72,49,64,68,82,82,11,Defender
319,Jorginho,Napoli,25,Italian Serie A,Italy,180,65,75,64,81,80,70,68,11,Midfielder
320,Héctor Bellerín,Arsenal,22,English Premier League,Spain,178,74,95,51,69,78,75,70,12,Defender
321,J. Butland,Stoke City,24,English Premier League,England,196,95,81,83,72,85,41,78,80,Goalkeeper
322,S. Zaza,Valencia CF,26,Spanish Primera División,Italy,186,84,79,80,59,77,38,83,9,Striker
323,T. Meunier,Paris Saint-Germain,25,French Ligue 1,Belgium,190,88,76,74,75,77,79,84,10,Defender
324,Felipe Anderson,Lazio,24,Italian Serie A,Brazil,175,70,92,75,77,86,53,62,9,Midfielder
325,Rafinha,FC Barcelona,24,Spanish Primera División,Brazil,174,71,74,77,79,85,62,64,10,Midfielder
326,Nacho Fernández,Real Madrid CF,27,Spanish Primera División,Spain,179,75,76,37,65,63,81,78,10,Defender
327,J. Cillessen,FC Barcelona,28,Spanish Primera División,Netherlands,185,83,79,83,74,77,52,81,79,Goalkeeper
328,Sergi Roberto,FC Barcelona,25,Spanish Primera División,Spain,178,68,77,64,80,76,79,72,13,Defender
329,W. Ben Yedder,Sevilla FC,26,Spanish Primera División,France,170,68,83,79,75,85,34,63,8,Striker
330,Lucas Pérez,RC Deportivo de La Coruña,28,Spanish Primera División,Spain,180,73,81,82,76,80,31,71,10,Striker
331,R. Barkley,Everton,23,English Premier League,England,189,76,77,73,77,82,55,77,10,Midfielder
332,C. Bakambu,Villarreal CF,26,Spanish Primera División,DR Congo,182,73,87,78,72,80,35,74,9,Striker
333,W. Zaha,Crystal Palace,24,English Premier League,Ivory Coast,180,66,90,71,71,86,33,72,12,Striker
334,Bartra,Borussia Dortmund,26,German Bundesliga,Spain,184,73,77,52,70,73,82,71,12,Defender
335,S. Aurier,Tottenham Hotspur,24,English Premier League,Ivory Coast,176,76,84,66,73,77,78,84,11,Defender
336,S. Coates,Sporting CP,26,Portuguese Primeira Liga,Uruguay,196,92,58,40,53,60,81,86,15,Defender
337,G. Krychowiak,West Bromwich Albion,27,English Premier League,Poland,186,85,65,58,72,66,79,86,10,Defender
338,K. Kampl,RB Leipzig,26,German Bundesliga,Slovenia,178,67,80,68,77,84,58,62,11,Midfielder
339,D. Lovren,Liverpool,27,English Premier League,Croatia,188,84,56,40,59,63,81,82,12,Defender
340,Y. Belhanda,Galatasaray SK,27,Turkish Süper Lig,Morocco,177,75,75,77,79,84,56,70,13,Midfielder
341,Mário Fernandes,CSKA Moscow,26,Russian Premier League,Russia,187,80,84,62,73,76,80,77,13,Defender
342,R. Rodríguez,Milan,24,Italian Serie A,Switzerland,180,77,74,67,80,76,77,72,13,Defender
343,J. Corona,FC Porto,24,Portuguese Primeira Liga,Mexico,173,62,83,72,74,88,40,51,10,Striker
344,Mario Gaspar,Villarreal CF,26,Spanish Primera División,Spain,182,74,81,70,70,73,80,81,11,Defender
345,Marcos Alonso,Chelsea,26,English Premier League,Spain,188,84,77,69,77,77,77,80,10,Defender
346,M. Götze,Borussia Dortmund,25,German Bundesliga,Germany,176,75,68,72,81,88,38,62,10,Midfielder
347,L. Hrádecký,Eintracht Frankfurt,27,German Bundesliga,Finland,190,80,79,77,73,85,41,79,79,Goalkeeper
348,Illarramendi,Real Sociedad,27,Spanish Primera División,Spain,179,75,60,66,77,79,77,70,12,Midfielder
349,De Marcos,Athletic Club de Bilbao,28,Spanish Primera División,Spain,182,78,86,62,73,78,74,79,10,Defender
350,C. Smalling,Manchester United,27,English Premier League,England,194,81,72,46,56,59,81,83,14,Defender
351,J. Wilshere,Arsenal,25,English Premier League,England,172,68,71,69,80,82,62,72,11,Midfielder
352,S. Rudy,FC Bayern Munich,27,German Bundesliga,Germany,180,74,71,67,80,80,74,67,11,Midfielder
353,M. Lanzini,West Ham United,24,English Premier League,Argentina,167,59,82,71,78,86,28,55,10,Midfielder
354,K. Trapp,Paris Saint-Germain,26,French Ligue 1,Germany,189,88,80,76,77,84,49,83,80,Goalkeeper
355,R. Boudebouz,Real Betis Balompié,27,Spanish Primera División,Algeria,177,74,76,78,83,81,33,62,12,Midfielder
356,Camacho,VfL Wolfsburg,27,German Bundesliga,Spain,183,75,61,60,71,69,80,81,11,Midfielder
357,Paulinho,FC Barcelona,28,Spanish Primera División,Brazil,181,81,76,74,74,77,77,76,11,Midfielder
358,N. Kalinić,Milan,29,Italian Serie A,Croatia,187,80,73,79,64,75,35,76,9,Striker
359,Giuliano,Fenerbahçe SK,27,Turkish Süper Lig,Brazil,172,68,81,76,77,82,45,73,11,Midfielder
360,D. Perotti,Roma,28,Italian Serie A,Argentina,179,70,81,71,78,85,32,59,8,Midfielder
361,M. Parolo,Lazio,32,Italian Serie A,Italy,184,75,71,76,76,76,77,81,9,Midfielder
362,K. Mitroglou,Olympique de Marseille,29,French Ligue 1,Greece,188,89,58,81,64,72,19,83,11,Striker
363,M. Sakho,Crystal Palace,27,English Premier League,France,187,83,61,33,62,56,80,85,10,Defender
364,A. Rami,Olympique de Marseille,31,French Ligue 1,France,190,90,53,54,48,58,81,82,4,Defender
365,S. Jovetić,AS Monaco,27,French Ligue 1,Montenegro,183,79,77,81,75,84,34,67,8,Striker
366,S. Coleman,Everton,28,English Premier League,Republic of Ireland,177,67,73,66,72,78,80,77,10,Defender
367,S. Kjær,Sevilla FC,28,Spanish Primera División,Denmark,189,90,64,55,64,53,81,81,11,Defender
368,Adán,Real Betis Balompié,30,Spanish Primera División,Spain,191,88,80,83,72,82,55,81,80,Goalkeeper
369,M. Valbuena,Fenerbahçe SK,32,Turkish Süper Lig,France,167,63,80,75,79,83,29,49,10,Striker
370,S. Mignolet,Liverpool,29,English Premier League,Belgium,193,87,80,76,65,84,56,78,77,Goalkeeper
371,D. Astori,Fiorentina,30,Italian Serie A,Italy,188,80,68,36,53,60,84,77,4,Defender
372,K. Mirallas,Everton,29,English Premier League,Belgium,182,72,83,77,77,83,46,65,12,Striker
373,A. Guardado,Real Betis Balompié,30,Spanish Primera División,Mexico,169,67,76,64,80,82,66,68,10,Midfielder
374,Raúl García,Athletic Club de Bilbao,30,Spanish Primera División,Spain,184,81,57,77,81,76,68,76,15,Midfielder
375,M. Škrtel,Fenerbahçe SK,32,Turkish Süper Lig,Slovakia,191,81,61,38,51,52,82,81,9,Defender
376,S. Mandanda,Olympique de Marseille,32,French Ligue 1,France,185,82,86,78,75,83,48,77,80,Goalkeeper
377,T. Heaton,Burnley,31,English Premier League,England,188,86,80,79,76,83,54,80,80,Goalkeeper
378,H. Ben Arfa,Paris Saint-Germain,30,French Ligue 1,France,178,74,76,77,77,86,35,69,11,Striker
379,Dante,OGC Nice,33,French Ligue 1,Brazil,188,85,45,52,67,63,82,74,10,Defender
380,A. Gignac,Tigres U.A.N.L.,31,Mexican Liga MX,France,187,89,72,83,72,73,39,82,12,Striker
381,Gabi,Atlético Madrid,33,Spanish Primera División,Spain,180,74,64,73,79,76,75,73,9,Midfielder
382,G. Rodríguez,San Lorenzo de Almagro,33,Argentinian Superliga,Argentina,182,79,68,47,61,65,83,76,10,Defender
383,D. Srna,Shakhtar Donetsk,35,Ukrainian Premier League,Croatia,178,72,73,75,85,75,78,74,9,Midfielder
384,B. Schweinsteiger,Chicago Fire Soccer Club,32,USA Major League Soccer,Germany,183,79,39,75,81,73,74,75,13,Midfielder
385,C. Carrasso,Galatasaray SK,35,Turkish Süper Lig,France,187,93,78,79,81,81,40,79,80,Goalkeeper
386,Moyá,Atlético Madrid,33,Spanish Primera División,Spain,189,82,85,78,82,79,39,81,81,Goalkeeper
387,W. Rooney,Everton,31,English Premier League,England,176,83,68,81,81,76,52,81,10,Striker
388,P. Mertesacker,Arsenal,32,English Premier League,Germany,198,90,27,41,55,47,85,70,10,Defender
389,T. Motta,Paris Saint-Germain,34,French Ligue 1,Italy,187,83,32,64,76,67,76,82,9,Midfielder
390,Fernando Torres,Atlético Madrid,33,Spanish Primera División,Spain,186,78,76,78,71,79,25,69,11,Striker
391,S. Eto'o,Antalyaspor,36,Turkish Süper Lig,Cameroon,179,75,74,83,74,79,37,71,11,Striker
392,S. Milinković-Savić,Lazio,22,Italian Serie A,Serbia,191,76,71,71,73,79,73,83,9,Midfielder
393,Y. Tielemans,AS Monaco,20,French Ligue 1,Belgium,176,72,53,79,80,77,68,71,10,Midfielder
394,Jemerson,AS Monaco,24,French Ligue 1,Brazil,184,77,63,35,51,59,81,75,11,Defender
395,A. Correa,Atlético Madrid,22,Spanish Primera División,Argentina,173,69,82,80,66,86,49,59,11,Striker
396,N. Bentaleb,FC Schalke 04,22,German Bundesliga,Algeria,187,78,67,71,77,81,70,72,12,Midfielder
397,Alisson,Roma,24,Italian Serie A,Brazil,191,91,75,76,70,86,39,78,77,Goalkeeper
398,Alex Telles,FC Porto,24,Portuguese Primeira Liga,Brazil,181,71,83,62,77,78,75,74,12,Defender
399,J. Brandt,Bayer 04 Leverkusen,21,German Bundesliga,Germany,183,82,81,73,76,84,26,61,11,Midfielder
400,K. Demirbay,TSG 1899 Hoffenheim,23,German Bundesliga,Germany,182,72,68,73,79,82,53,71,14,Midfielder
401,D. Rugani,Juventus,22,Italian Serie A,Italy,190,82,61,39,53,64,83,75,6,Defender
402,M. Sanson,Olympique de Marseille,22,French Ligue 1,France,180,73,76,75,80,80,74,77,11,Midfielder
403,Samu Castillejo,Villarreal CF,22,Spanish Primera División,Spain,182,67,86,67,79,82,37,48,13,Striker
404,P. Zieliński,Napoli,23,Italian Serie A,Poland,180,75,83,69,79,83,62,60,10,Midfielder
405,Ricardo Pereira,FC Porto,23,Portuguese Primeira Liga,Portugal,175,70,88,62,77,81,77,70,13,Defender
406,Grimaldo,SL Benfica,21,Portuguese Primeira Liga,Spain,171,69,86,60,72,82,75,72,10,Defender
407,Fred,Shakhtar Donetsk,24,Ukrainian Premier League,Brazil,169,64,82,70,76,82,71,63,13,Midfielder
408,J. Hector,1. FC Köln,27,German Bundesliga,Germany,185,75,77,60,76,75,79,77,11,Defender
409,E. Can,Liverpool,23,English Premier League,Germany,184,82,71,67,77,77,78,84,11,Midfielder
410,Gerard Moreno,RCD Espanyol,25,Spanish Primera División,Spain,180,75,82,78,65,76,45,65,11,Striker
411,S. Kolašinac,Arsenal,24,English Premier League,Bosnia Herzegovina,183,85,78,53,61,64,78,89,11,Defender
412,L. Paredes,Zenit St. Petersburg,23,Russian Premier League,Argentina,180,75,72,67,81,79,70,73,10,Midfielder
413,Arrizabalaga,Athletic Club de Bilbao,22,Spanish Primera División,Spain,188,83,78,81,75,83,33,76,79,Goalkeeper
414,A. Pléa,OGC Nice,24,French Ligue 1,France,181,79,82,80,75,77,41,76,14,Striker
415,T. Stepanenko,Shakhtar Donetsk,27,Ukrainian Premier League,Ukraine,181,75,67,61,72,69,79,80,12,Midfielder
416,O. Shatov,Zenit St. Petersburg,26,Russian Premier League,Russia,173,73,88,73,76,82,47,68,12,Defender
417,Leo Baptistao,RCD Espanyol,24,Spanish Primera División,Brazil,181,72,79,77,69,80,28,64,9,Striker
418,M. Nastasić,FC Schalke 04,24,German Bundesliga,Serbia,188,83,70,31,58,50,82,75,13,Defender
419,Denis Suárez,FC Barcelona,23,Spanish Primera División,Spain,176,69,79,74,81,84,51,58,10,Midfielder
420,M. Batshuayi,Chelsea,23,English Premier League,Belgium,185,86,79,80,59,77,27,74,11,Striker
421,J. Brooks,VfL Wolfsburg,24,German Bundesliga,United States,193,78,74,39,57,63,81,77,9,Defender
422,S. Vrsaljko,Atlético Madrid,25,Spanish Primera División,Croatia,183,73,83,55,73,75,78,78,12,Defender
423,Eric Botteghin,Feyenoord,29,Holland Eredivisie,Brazil,192,89,34,36,48,49,82,83,14,Defender
424,L. Karius,Liverpool,24,English Premier League,Germany,189,87,84,74,74,85,50,76,79,Goalkeeper
425,T. Hazard,Borussia Mönchengladbach,24,German Bundesliga,Belgium,174,69,81,79,80,85,37,64,7,Striker
426,V. Germain,Olympique de Marseille,27,French Ligue 1,France,180,73,78,80,75,79,31,68,11,Striker
427,L. Kurzawa,Paris Saint-Germain,24,French Ligue 1,France,182,74,77,69,77,78,77,75,11,Defender
428,F. Ghoulam,Napoli,26,Italian Serie A,Algeria,188,80,80,64,72,75,76,78,10,Defender
429,J. Iličić,Atalanta,29,Italian Serie A,Slovenia,190,79,70,82,80,81,35,64,10,Midfielder
430,K. Volland,Bayer 04 Leverkusen,24,German Bundesliga,Germany,179,81,77,81,78,79,39,82,9,Striker
431,Allan,Napoli,26,Italian Serie A,Brazil,175,74,77,64,75,78,79,81,9,Midfielder
432,P. Hernández,RC Celta de Vigo,30,Spanish Primera División,Chile,185,81,71,71,75,78,64,79,11,Midfielder
433,D. Tadić,Southampton,28,English Premier League,Serbia,181,76,70,67,80,83,37,63,12,Midfielder
434,L. Muriel,Sevilla FC,26,Spanish Primera División,Colombia,179,79,89,77,68,85,25,72,10,Striker
435,Pablo Sarabia,Sevilla FC,25,Spanish Primera División,Spain,174,70,76,73,80,83,30,53,12,Midfielder
436,A. Oxlade-Chamberlain,Liverpool,23,English Premier League,England,175,70,88,70,74,84,52,71,10,Midfielder
437,J. Guilavogui,VfL Wolfsburg,26,German Bundesliga,France,188,77,70,59,66,67,81,81,12,Defender
438,O. Özyakup,Beşiktaş JK,24,Turkish Süper Lig,Turkey,180,75,75,74,83,80,59,69,11,Midfielder
439,Y. Rakitskyi,Shakhtar Donetsk,27,Ukrainian Premier League,Ukraine,180,70,72,68,76,72,81,78,11,Midfielder
440,P. Jones,Manchester United,25,English Premier League,England,185,71,61,56,65,62,80,80,10,Defender
441,Sergi Enrich,SD Eibar,27,Spanish Primera División,Spain,181,77,66,77,69,75,42,80,9,Striker
442,Neto,Valencia CF,27,Spanish Primera División,Brazil,190,84,84,80,74,83,51,74,79,Goalkeeper
443,Hugo Mallo,RC Celta de Vigo,26,Spanish Primera División,Spain,173,69,74,40,70,74,77,76,11,Defender
444,D. Didavi,VfL Wolfsburg,27,German Bundesliga,Germany,180,78,77,81,76,81,52,72,11,Striker
445,R. Soriano,Villarreal CF,26,Spanish Primera División,Italy,182,76,77,77,80,81,63,73,12,Midfielder
446,A. Schürrle,Borussia Dortmund,26,German Bundesliga,Germany,184,73,83,82,74,80,38,70,10,Striker
447,M. Gonalons,Roma,28,Italian Serie A,France,187,76,66,61,69,69,80,81,9,Defender
448,A. Areola,Paris Saint-Germain,24,French Ligue 1,France,195,94,82,78,70,84,53,75,78,Goalkeeper
449,R. Pereyra,Watford,26,English Premier League,Argentina,182,77,78,68,80,81,66,68,5,Midfielder
450,K. Vogt,TSG 1899 Hoffenheim,25,German Bundesliga,Germany,194,85,76,57,69,67,79,80,10,Defender
451,F. Orellana,Valencia CF,31,Spanish Primera División,Chile,168,64,80,73,76,83,32,50,13,Striker
452,A. Kokorin,Zenit St. Petersburg,26,Russian Premier League,Russia,181,74,84,77,71,81,44,72,11,Striker
453,Maicon,Galatasaray SK,28,Turkish Süper Lig,Brazil,191,89,63,55,65,54,81,83,11,Defender
454,E. Salvio,SL Benfica,26,Portuguese Primeira Liga,Argentina,173,77,87,74,74,80,44,70,10,Striker
455,D. Blind,Manchester United,27,English Premier League,Netherlands,180,72,60,56,79,76,80,76,11,Midfielder
456,S. El Shaarawy,Roma,24,Italian Serie A,Italy,178,72,87,75,70,84,31,58,4,Striker
457,M. Antonio,West Ham United,27,English Premier League,England,178,80,85,74,70,81,52,82,11,Striker
